CollectionIdentifier	Title	Subject
IWA0236	Kim Landhuis papers	Fort Dodge (Iowa)
IWA0237	Leola Bergmann papers	Middle West
IWA0238	Icey Lenora Teel Harling papers	Davenport (Iowa)
IWA0238	Icey Lenora Teel Harling papers	Durant (Iowa)
IWA0238	Icey Lenora Teel Harling papers	Des Moines (Iowa)
IWA0239	Zelda Babcock Wolfe memoir	Riceville (Iowa)
IWA0239	Zelda Babcock Wolfe memoir	Farnhamville (Iowa)
IWA0240	Women's International League for Peace and Freedom (Des Moines Chapter) records	Des Moines (Iowa)
IWA0241	Josephine Hirons Pullen papers	Early (Iowa)
IWA0241	Josephine Hirons Pullen papers	Ida Grove (Iowa)
IWA0242	Catherine Gayle Williams papers	Des Moines (Iowa)
IWA0243	League of Women Voters of Metropolitan Des Moines records	Des Moines (Iowa)
IWA0244	Hazelle Keir Schmuecker papers	Norway (Iowa)
IWA0244	Hazelle Keir Schmuecker papers	Blairstown (Iowa)
IWA0244	Hazelle Keir Schmuecker papers	Ames (Iowa)
IWA0245	Cassie Thompson Ford papers	Stanton (Iowa)
IWA0245	Cassie Thompson Ford papers	Central City (Iowa)
IWA0246	"Willing Workers Club (Fayette County, Iowa) records"	Fayette County (Iowa)
IWA0247	Barbara M. Calderon papers	Iowa City (Iowa)
IWA0247	Barbara M. Calderon papers	Iowa
IWA0248	Dora E. Mackay papers	Des Moines (Iowa)
IWA0249	Christine Dutson papers	Fort Madison (Iowa)
IWA0250	"Emerson Study Club, Sioux City records"	Sioux City (Iowa)
IWA0251	Edith Reed Atkinson papers	Cedar Rapids (Iowa)
IWA0251	Edith Reed Atkinson papers	Linn County (Iowa)
IWA0253	Vina Thorpe papers	Des Moines (Iowa)
IWA0253	Vina Thorpe papers	Centerville (Iowa)
IWA0254	Esther Thornhill papers	Ida Grove (Iowa)
IWA0255	Lois H. Eichacker papers	Keokuk (Iowa)
IWA0255	Lois H. Eichacker papers	Fort Madison (Iowa)
IWA0256	Lileah Harris papers	Cedar Rapids (Iowa)
IWA0256	Lileah Harris papers	Waterloo (Iowa)
IWA0257	New Art Club of Marion (Iowa) records	Marion (Iowa)
IWA0258	"Cary Club of Marion, Iowa records"	Marion (Iowa)
IWA0259	Rosalie Braverman papers	Iowa City (Iowa)
IWA0259	Rosalie Braverman papers	Grajewo (Poland)
IWA0259	Rosalie Braverman papers	Council Bluffs (Iowa)
IWA0260	Lemme Family papers	Iowa City (Iowa)
IWA0260	Lemme Family papers	Grinnell (Iowa)
IWA0261	Gladys Homan papers	Corning (Iowa)
IWA0261	Gladys Homan papers	Adams County (Iowa)
IWA0262	Mary Elizabeth Wood papers	Des Moines (Iowa)
IWA0262	Mary Elizabeth Wood papers	Philadelphia (Pa.)
IWA0262	Mary Elizabeth Wood papers	Buffalo (N.Y.)
IWA0262	Mary Elizabeth Wood papers	Pittsburgh (Pa.)
IWA0263	Kathleen Halloran Chapman papers	Iowa
IWA0263	Kathleen Halloran Chapman papers	Cedar Rapids (Iowa)
IWA0264	Janet Shipton papers	West Branch (Iowa)
IWA0264	Janet Shipton papers	Iowa City (Iowa)
IWA0264	Janet Shipton papers	Saint Louis (Mo.)
IWA0264	Janet Shipton papers	England
IWA0264	Janet Shipton papers	Johnson County (Iowa)
IWA0265	"Dieman-Bennett Dance Theatre of the Hemispheres (Cedar Rapids, Iowa) records"	Cedar Rapids (Iowa)
IWA0266	"Elizabeth ""Bettye"" Crawford Tate papers"	Iowa City (Iowa)
IWA0267	Candace Packard Lambie papers	Clear Lake (Iowa)
IWA0269	Iowa Women's Foundation records	Iowa
IWA0270	Elizabeth Anna Gernes papers	Minnesota
IWA0270	Elizabeth Anna Gernes papers	Iran
IWA0271	Germaine Mayer Blake papers	Staceyville (Iowa)
IWA0273	Marian Rees papers	"Hollywood (Los Angeles, Calif.)"
IWA0276	Arlene Morris papers	Des Moines (Iowa)
IWA0277	Grace Morris Allen Jones papers	Burlington (Iowa)
IWA0278	Dorothy Carpenter papers	Iowa
IWA0279	Aldeen Davis papers	Muscatine (Iowa)
IWA0280	Penny Furgerson papers	Des Moines (Iowa)
IWA0281	Betty Mae Page correspondence	Waterloo (Iowa)
IWA0282	Zella May Gerber papers	Oak Ridge (Tenn.)
IWA0282	Zella May Gerber papers	Ethiopia
IWA0282	Zella May Gerber papers	Tennessee
IWA0282	Zella May Gerber papers	Alaska
IWA0283	Ruth Moe Christ papers	Winnebago County (Iowa)
IWA0284	Gladys Talcott Rife papers	Iowa City (Iowa)
IWA0284	Gladys Talcott Rife papers	Fayette County (Iowa)
IWA0284	Gladys Talcott Rife papers	Lone Tree (Iowa)
IWA0284	Gladys Talcott Rife papers	Mount Vernon (Iowa)
IWA0285	Julie Litchfield Tallman papers	Des Moines (Iowa)
IWA0285	Julie Litchfield Tallman papers	Iowa City (Iowa)
IWA0286	Helen Gunderson papers	Des Moines (Iowa)
IWA0286	Helen Gunderson papers	Gilbert (Iowa)
IWA0286	Helen Gunderson papers	Iowa
IWA0287	Ruth M. Roland Cowden diary	Des Moines (Iowa)
IWA0287	Ruth M. Roland Cowden diary	Los Angeles (Calif.)
IWA0288	Esther J. Walls papers	Mason City (Iowa)
IWA0288	Esther J. Walls papers	New York (N.Y.)
IWA0289	Henrietta Ruff papers	Amana (Iowa)
IWA0290	Betty Boller oral history	Des Moines (Iowa)
IWA0291	"Know Your Neighbor Club (Williams, Iowa) records"	Williams (Iowa)
IWA0292	Lillian Moore Scales papers	Des Moines (Iowa)
IWA0293	"Athens History Circle (Iowa City, Iowa) records"	Iowa City (Iowa)
IWA0294	Cynthia Hickok portfolio	Sac City (Iowa)
IWA0294	Cynthia Hickok portfolio	Costa Mesa (Calif.)
IWA0294	Cynthia Hickok portfolio	Houston (Tex.)
IWA0295	Jacqueline Scott papers	Keokuk (Iowa)
IWA0296	Archie L. Greene papers	Iowa City (Iowa)
IWA0296	Archie L. Greene papers	Ames (Iowa)
IWA0297	Jean Berry papers	Des Moines (Iowa)
IWA0297	Jean Berry papers	Kansas City (Mo.)
IWA0298	Ellen Mowrer Miller papers	Iowa City (Iowa)
IWA0298	Ellen Mowrer Miller papers	Pennsylvania
IWA0298	Ellen Mowrer Miller papers	Russell (Kan.)
IWA0298	Ellen Mowrer Miller papers	Boone County (Iowa)
IWA0298	Ellen Mowrer Miller papers	Rippey (Iowa)
IWA0299	Susan J. Norman papers	Iowa City (Iowa)
IWA0299	Susan J. Norman papers	Bowling Green (Ohio)
IWA0300	Anita Lowry papers	Iowa City (Iowa)
IWA0301	Esther Sietmann Warner Dendel papers	Costa Mesa (Calif.)
IWA0301	Esther Sietmann Warner Dendel papers	Liberia
IWA0301	Esther Sietmann Warner Dendel papers	Laurel (Iowa)
IWA0301	Esther Sietmann Warner Dendel papers	Ames (Iowa)
IWA0302	Phoebe Kellum Mericle obituary	Webster County (Iowa)
IWA0302	Phoebe Kellum Mericle obituary	Fort Dodge (Iowa)
IWA0303	Jean Huffey papers	Waterville (Iowa)
IWA0303	Jean Huffey papers	Waukon (Iowa)
IWA0305	ERA Iowa 1992 records	Iowa
IWA0305	ERA Iowa 1992 records	Des Moines (Iowa)
IWA0306	Off and Holsteen Family papers	Iowa City (Iowa)
IWA0306	Off and Holsteen Family papers	North English (Iowa)
IWA0306	Off and Holsteen Family papers	Boone (Iowa)
IWA0306	Off and Holsteen Family papers	Burlington (Iowa)
IWA0307	Louise Goldman papers	Davenport (Iowa)
IWA0307	Louise Goldman papers	Iowa
IWA0308	Jean Shoots papers	Iowa City (Iowa)
IWA0309	Mary Louise Petersen Papers	Iowa
IWA0310	Mary G. Clark papers	Johnson County (Iowa)
IWA0311	Miriam Baker Nye papers	Moville (Iowa)
IWA0311	Miriam Baker Nye papers	Sioux City (Iowa)
IWA0312	Susan Boyd papers	Iowa City (Iowa)
IWA0313	Margaret Atherton Bonney papers	Davenport (Iowa)
IWA0313	Margaret Atherton Bonney papers	Des Moines (Iowa)
IWA0313	Margaret Atherton Bonney papers	Iowa City (Iowa)
IWA0314	Mary Dickens papers	Waterloo (Iowa)
IWA0315	United Sisters of Black Hawk County records	Black Hawk County (Iowa)
IWA0316	Gladys Miller Ferguson papers	Cedar County (Iowa)
IWA0316	Gladys Miller Ferguson papers	Rockwell City (Iowa)
IWA0316	Gladys Miller Ferguson papers	Mechanicsville (Iowa)
IWA0317	Rosetta M. Byers papers	Iowa City (Iowa)
IWA0317	Rosetta M. Byers papers	Garner (Iowa)
IWA0317	Rosetta M. Byers papers	Ida Grove (Iowa)
IWA0318	Shirley M. Sandage papers	Mason City (Iowa)
IWA0318	Shirley M. Sandage papers	Washington (D.C.)
IWA0319	Phyllis Harper-Bardach papers	Iowa City (Iowa)
IWA0319	Phyllis Harper-Bardach papers	Lee County (Iowa)
IWA0319	Phyllis Harper-Bardach papers	Jacksonville (Ill.)
IWA0319	Phyllis Harper-Bardach papers	Washington (D.C.)
IWA0319	Phyllis Harper-Bardach papers	New York (N.Y.)
IWA0320	Bessie Wilkerson papers	Fort Madison (Iowa)
IWA0321	Marjorie Marsh papers	Fort Madison (Iowa)
IWA0322	"Booster Women's Club (Fort Madison, Iowa) records"	Fort Madison (Iowa)
IWA0323	Joy Neal Kidney newspaper articles	Guthrie County (Iowa)
IWA0323	Joy Neal Kidney newspaper articles	Dallas County (Iowa)
IWA0324	Margaret Strang Corothers memoir	Benton County (Iowa)
IWA0324	Margaret Strang Corothers memoir	Minnehaha County (S.D.)
IWA0324	Margaret Strang Corothers memoir	Deuel County (S.D.)
IWA0324	Margaret Strang Corothers memoir	Tama County (Iowa)
IWA0324	Margaret Strang Corothers memoir	Norway (Iowa)
IWA0325	Lela Aurilla Yost memoir	Mason City (Iowa)
IWA0325	Lela Aurilla Yost memoir	Butler County (Iowa)
IWA0326	Doris Bender Hughes papers	Iowa City (Iowa)
IWA0326	Doris Bender Hughes papers	Coralville (Iowa)
IWA0327	Debra Blake papers	Cedar Falls (Iowa)
IWA0328	Cornelia Shrauger Day papers	Washington (Iowa)
IWA0330	Geraldene Felton papers	Iowa City (Iowa)
IWA0330	Geraldene Felton papers	Des Moines (Iowa)
IWA0331	Giving Voice to their Memories: Oral Histories of African American Women in Iowa	Iowa
IWA0332	Joan Vander Naald Egenes papers	Des Moines (Iowa)
IWA0332	Joan Vander Naald Egenes papers	Boone (Iowa)
IWA0333	E. Marie Hawkins papers	Iowa City (Iowa)
IWA0334	Shloss and Mannheimer Families papers	Des Moines (Iowa)
IWA0335	Iowa Cornets records	Iowa
IWA0336	Marie Tener Havel papers	Iowa City (Iowa)
IWA0336	Marie Tener Havel papers	Missouri
IWA0336	Marie Tener Havel papers	Riverside (Iowa)
IWA0337	Janie Yates-Glandorf papers	Iowa City (Iowa)
IWA0337	Janie Yates-Glandorf papers	North Carolina
IWA0338	University of Iowa Council on the Status of Women records	Iowa City (Iowa)
IWA0339	Ruth Schanke papers	Des Moines (Iowa)
IWA0339	Ruth Schanke papers	Pella (Iowa)
IWA0340	Jane Burleson papers	Chicago (Ill.)
IWA0340	Jane Burleson papers	Fort Dodge (Iowa)
IWA0341	Roberta Pendleton papers	Sioux City (Iowa)
IWA0342	"Quota Club (Sioux City, Iowa) records"	Sioux City (Iowa)
IWA0343	Olabelle Reed papers	Waterloo (Iowa)
IWA0344	Venise T. Berry papers	Iowa City (Iowa)
IWA0344	Venise T. Berry papers	Texas
IWA0345	E. Virginia Mowry papers	Newton (Iowa)
IWA0345	E. Virginia Mowry papers	Hamilton (Mo.)
IWA0346	Jane Christoffer Rubel papers	Ruthven (Iowa)
IWA0347	Helen Larson papers	Iowa City (Iowa)
IWA0347	Helen Larson papers	Hale (Iowa)
IWA0347	Helen Larson papers	Wyoming (Iowa)
IWA0347	Helen Larson papers	Anamosa (Iowa)
IWA0347	Helen Larson papers	Mount Vernon (Iowa)
IWA0348	Maggie Tinsman papers	Bettendorf (Iowa)
IWA0349	Dorothy Paul papers	Iowa City (Iowa)
IWA0350	Ruth Pitkanen Johnson papers	Iowa City (Iowa)
IWA0351	Jo Ann Zimmerman papers	Iowa
IWA0351	Jo Ann Zimmerman papers	Des Moines (Iowa)
IWA0352	Lois Boulware papers	Iowa City (Iowa)
IWA0353	Alta Martin papers	Muscatine County (Iowa)
IWA0354	Vern Berry papers	Quad Cities (Ill. and Iowa)
IWA0354	Vern Berry papers	Davenport (Iowa)
IWA0355	Eva Donelson Wilson papers	Boone County (Iowa)
IWA0355	Eva Donelson Wilson papers	Ogden (Iowa)
IWA0356	Ruth Bonfiglio papers	Iowa City (Iowa)
IWA0357	"The Clionian Club (Davenport, Iowa) records"	Davenport (Iowa)
IWA0358	Gertrude Cohen papers	Iowa
IWA0358	Gertrude Cohen papers	Black Hawk County (Iowa)
IWA0359	Opal Miller papers	Katmandu (Nepal)
IWA0359	Opal Miller papers	Sitka (Alaska)
IWA0359	Opal Miller papers	Albuquerque (N.M.)
IWA0360	Bette Brooks Stone papers	Chicago (Ill.)
IWA0360	Bette Brooks Stone papers	Mapleton (Iowa)
IWA0361	Marta Werner papers	Fort Madison (Iowa)
IWA0362	Molly Bolin papers	Des Moines (Iowa)
IWA0362	Molly Bolin papers	Iowa
IWA0362	Molly Bolin papers	San Francisco (Calif.)
IWA0362	Molly Bolin papers	Columbus (Ohio)
IWA0362	Molly Bolin papers	Moravia (Iowa)
IWA0363	Sioux County Women's Chorus (Iowa) records	Sioux County (Iowa)
IWA0363	Sioux County Women's Chorus (Iowa) records	Des Moines (Iowa)
IWA0363	Sioux County Women's Chorus (Iowa) records	New York (N.Y.)
IWA0364	"Women Against Racism Committee (Iowa City, Iowa) records"	Iowa City (Iowa)
IWA0365	Gwendolyn Fowler papers	Des Moines (Iowa)
IWA0365	Gwendolyn Fowler papers	Australia
IWA0365	Gwendolyn Fowler papers	Singapore
IWA0365	Gwendolyn Fowler papers	Indonesia
IWA0365	Gwendolyn Fowler papers	China
IWA0365	Gwendolyn Fowler papers	Vietnam
IWA0365	Gwendolyn Fowler papers	Japan
IWA0365	Gwendolyn Fowler papers	Holly Springs (Miss.)
IWA0366	Cherry Muhanji papers	Iowa City (Iowa)
IWA0366	Cherry Muhanji papers	Detroit (Mich.)
IWA0367	Alberta Evelyn Swan Lehman papers	Ute Indian Reservation (Colo.)
IWA0367	Alberta Evelyn Swan Lehman papers	Simpson (Iowa)
IWA0367	Alberta Evelyn Swan Lehman papers	Naturita (Colo.)
IWA0368	Bonnie J. Campbell papers	Iowa
IWA0369	Margaret Johnson papers	Davis County (Iowa)
IWA0370	Iowa Women in Educational Leadership records	Iowa
IWA0371	Hilda Ellyson Allen papers	Iowa
IWA0371	Hilda Ellyson Allen papers	Omaha (Neb.)
IWA0371	Hilda Ellyson Allen papers	Onawa (Iowa)
IWA0372	"National Association of Women in Construction, Cedar Rapids-Iowa City Chapter records"	Iowa City (Iowa)
IWA0372	"National Association of Women in Construction, Cedar Rapids-Iowa City Chapter records"	Cedar Rapids (Iowa)
IWA0373	Judy Herron Hoit papers	South Africa
IWA0373	Judy Herron Hoit papers	Warm Springs (Ga.)
IWA0373	Judy Herron Hoit papers	Iowa City (Iowa)
IWA0374	Lori Schieffer papers	Columbus Junction (Iowa)
IWA0374	Lori Schieffer papers	Columbus City (Iowa)
IWA0375	Marjorie Vandervelde papers	China
IWA0375	Marjorie Vandervelde papers	Payson (Ill.)
IWA0375	Marjorie Vandervelde papers	Haiti
IWA0375	Marjorie Vandervelde papers	Guatemala
IWA0375	Marjorie Vandervelde papers	San Blas Islands (Panama)
IWA0375	Marjorie Vandervelde papers	Mexico
IWA0376	Marjorie Mason papers	Sioux City (Iowa)
IWA0376	Marjorie Mason papers	Zapata County (Tex.)
IWA0377	"Friendly Neighbors Club (Deep River, Iowa) records"	Deep River (Iowa)
IWA0378	Nancy Pfeiffer Towner papers	Iowa City (Iowa)
IWA0378	Nancy Pfeiffer Towner papers	Evanston (Ill.)
IWA0378	Nancy Pfeiffer Towner papers	Chicago (Ill.)
IWA0379	Pearl Knoop papers	Iowa
IWA0379	Pearl Knoop papers	Marble Rock (Iowa)
IWA0380	Geneva Southall papers	Iowa City (Iowa)
IWA0380	Geneva Southall papers	New Orleans (La.)
IWA0380	Geneva Southall papers	Orangeburg (S.C.)
IWA0380	Geneva Southall papers	Minneapolis (Minn.)
IWA0381	Farm Safety 4 Just Kids (founding chapter) records	Iowa
IWA0382	Josephine Gruhn papers	Iowa
IWA0382	Josephine Gruhn papers	Dickinson County (Iowa)
IWA0382	Josephine Gruhn papers	Emmet County (Iowa)
IWA0383	Freedom Township Women's Club (Palo Alto County) records	 Palo Alto County (Iowa)
IWA0384	Dorothy Sprout Place memoir	Emmetsburg (Iowa)
IWA0385	Marjorie Bertalot Block papers	Rochester (Minn.)
IWA0385	Marjorie Bertalot Block papers	Spring Valley (Minn.)
IWA0385	Marjorie Bertalot Block papers	Vinton (Iowa)
IWA0385	Marjorie Bertalot Block papers	Linn County (Iowa)
IWA0386	Irene Coleman Buckley memoir	Ogden (Iowa)
IWA0387	Nancy De Vries Blom papers	Netherlands
IWA0387	Nancy De Vries Blom papers	Doon (Iowa)
IWA0387	Nancy De Vries Blom papers	Sioux County (Iowa)
IWA0387	Nancy De Vries Blom papers	South Dakota
IWA0388	Jeanne Van Kley papers	Ocheyedan (Iowa)
IWA0389	Violet Greiner papers	Iowa
IWA0389	Violet Greiner papers	Blairsburg (Iowa)
IWA0389	Violet Greiner papers	India
IWA0390	Helena Jongewaard McDonald papers	Cedar Falls (Iowa)
IWA0390	Helena Jongewaard McDonald papers	Sioux Center (Iowa)
IWA0391	Swope and DeLand Families papers	Des Moines (Iowa)
IWA0391	Swope and DeLand Families papers	Storm Lake (Iowa)
IWA0391	Swope and DeLand Families papers	Buena Vista County (Iowa)
IWA0393	Edna Hidlebaugh papers	Jefferson (Iowa)
IWA0393	Edna Hidlebaugh papers	Bayard (Iowa)
IWA0393	Edna Hidlebaugh papers	San Francisco (Calif.)
IWA0394	Gwendolyn Johnson Hein papers	Newhall (Iowa)
IWA0395	Mothers for Natural Law records	Fairfield (Iowa)
IWA0396	Sally Puttmann papers	Woodbury County (Iowa)
IWA0396	Sally Puttmann papers	Plymouth County (Iowa)
IWA0397	"Cloverleaf Club (Cass County, Iowa) records"	Cass County (Iowa)
IWA0398	Iowa Suffrage Memorial Commission records	Iowa
IWA0399	Helen Lemme Reading Club records	Iowa City (Iowa)
IWA0400	Campaign to Add Women to the Iowa Constitution records	Iowa
IWA0401	Margaret Talcott Boedecker papers	Iowa
IWA0401	Margaret Talcott Boedecker papers	Red Lake (Minn.)
IWA0401	Margaret Talcott Boedecker papers	Araibi (Ariz.)
IWA0401	Margaret Talcott Boedecker papers	Macy (Neb.)
IWA0401	Margaret Talcott Boedecker papers	Carson City (Nev.)
IWA0401	Margaret Talcott Boedecker papers	Wrangell (Alaska)
IWA0401	Margaret Talcott Boedecker papers	White Mountain (Alaska)
IWA0401	Margaret Talcott Boedecker papers	Pine Ridge (S.D.)
IWA0402	Marguerite Cothorn papers	Des Moines (Iowa)
IWA0402	Marguerite Cothorn papers	Knoxville (Iowa)
IWA0402	Marguerite Cothorn papers	West Des Moines (Iowa)
IWA0402	Marguerite Cothorn papers	Rockford (Ill.)
IWA0403	Wallace Women History Project	Des Moines (Iowa)
IWA0403	Wallace Women History Project	Washington (D.C.)
IWA0404	Mary McDermott Shideler papers	Boulder (Colo.)
IWA0404	Mary McDermott Shideler papers	Swarthmore (Pa.)
IWA0404	Mary McDermott Shideler papers	Topeka (Kan.)
IWA0404	Mary McDermott Shideler papers	Ames (Iowa)
IWA0405	Alma Marie Kouba Kress papers	Buchanan County (Iowa)
IWA0405	Alma Marie Kouba Kress papers	Independence (Iowa)
IWA0405	Alma Marie Kouba Kress papers	Rowley ( Iowa)
IWA0406	Josephine M. Kuba papers	Cedar Rapids (Iowa)
IWA0407	Autobiographical Sketches of Rural Iowa Women	Iowa
IWA0407	Autobiographical Sketches of Rural Iowa Women	Plymouth County (Iowa)
IWA0408	Esther Ver Meer papers	Mahaska County (Iowa)
IWA0409	Mabel Korver Van Haaften memoir	Leighton (Iowa)
IWA0410	Barbara Fassbinder papers	Prairie du Chien (Wis.)
IWA0410	Barbara Fassbinder papers	Marion (Iowa)
IWA0411	Arlene Gardner Hall papers	 Mt. Ayr (Iowa)
IWA0411	Arlene Gardner Hall papers	Blythedale (Miss.)
IWA0412	"Greene Township Women's Club (Iowa County, Iowa) records"	Iowa County (Iowa)
IWA0413	Linda Yanney papers	Iowa City (Iowa)
IWA0414	"Artists in Action (Muscatine, Iowa) records"	Muscatine (Iowa)
IWA0415	Suzanne Bunkers papers	Mankato (Minn.)
IWA0416	Mary Parden papers	Iowa City (Iowa)
IWA0417	Lavina Power papers	Cincinnati (Iowa)
IWA0418	Cora Eversmeyer papers	Pennsylvania
IWA0418	Cora Eversmeyer papers	Lee County (Iowa)
IWA0418	Cora Eversmeyer papers	Germany
IWA0419	Winnifred Hiatt Scanlan papers	Stockport (Iowa)
IWA0420	Katherine Stroud papers	Des Moines (Iowa)
IWA0420	Katherine Stroud papers	Chicago (Ill.)
IWA0421	Nellie Booker papers	Riverton (Iowa)
IWA0422	Connie Heckert papers	Davenport (Iowa)
IWA0423	Mary Sears McHenry papers	Denison (Iowa)
IWA0423	Mary Sears McHenry papers	Rockford (Ill.)
IWA0424	Robinson-Lacy Family papers	Dubuque (Iowa)
IWA0424	Robinson-Lacy Family papers	Lima (Iowa)
IWA0425	Shale and Wolf Families letters	Iowa
IWA0425	Shale and Wolf Families letters	Dakota Territory
IWA0426	Marie Giddings papers	Kossuth County (Iowa)
IWA0427	Trimble Family papers	Iowa
IWA0428	Mavis Stoner papers	Buena Vista County (Iowa)
IWA0428	Mavis Stoner papers	Cherokee County (Iowa)
IWA0428	Mavis Stoner papers	Peterson (Iowa)
IWA0429	Mahaska County Farm Bureau Women's Committee records	Mahaska County (Iowa)
IWA0431	Jennifer Riggs Cosson papers	Des Moines (Iowa)
IWA0431	Jennifer Riggs Cosson papers	Indianola (Iowa)
IWA0431	Jennifer Riggs Cosson papers	Europe
IWA0432	Prairie View Club (Hardin County) records	Hardin County (Iowa)
IWA0433	Virginia Tanner Simonsen papers	Ames (Iowa)
IWA0434	Bertha Korn Tucker papers	Des Moines (Iowa)
IWA0435	Georgana Falb Foster papers	India
IWA0435	Georgana Falb Foster papers	Cedar Rapids (Iowa)
IWA0435	Georgana Falb Foster papers	Wild Rose (Wis.)
IWA0435	Georgana Falb Foster papers	 Elgin (Iowa)
IWA0435	Georgana Falb Foster papers	Walker (Iowa)
IWA0436	Della Marie Koppenhaver papers	Jones County (Iowa)
IWA0436	Della Marie Koppenhaver papers	Cedar County (Iowa)
IWA0436	Della Marie Koppenhaver papers	Martelle (Iowa)
IWA0437	Lois Wescott papers	Hampton (Iowa)
IWA0437	Lois Wescott papers	Golden (Colo.)
IWA0437	Lois Wescott papers	Boulder (Colo.)
IWA0438	Ione Mulnix papers	Iowa City (Iowa)
IWA0438	Ione Mulnix papers	Dows (Iowa)
IWA0439	Sonja Larsen papers	Ottumwa (Iowa)
IWA0439	Sonja Larsen papers	Wapello County (Iowa)
IWA0440	"Cleona Township Women's Club (Scott County, Iowa) records"	Scott County (Iowa)
IWA0441	Iola Vander Wilt papers	Des Moines (Iowa)
IWA0442	Virginia Myers papers	Iowa City (Iowa)
IWA0443	Edna Griffin papers	Iowa
IWA0443	Edna Griffin papers	Des Moines (Iowa)
IWA0445	Jesse Antrim Perkins papers	Iowa
IWA0446	Claudine Harris papers	Iowa City (Iowa)
IWA0446	Claudine Harris papers	Cambridge (Mass.)
IWA0446	Claudine Harris papers	Paris (France)
IWA0446	Claudine Harris papers	Johnson County (Iowa)
IWA0447	Marlene Booth papers	Des Moines (Iowa)
IWA0448	Phillips and Tarbell Family papers	Appanoose County (Iowa)
IWA0449	Dorothy Pearl Unmack Dix papers	Harrison County (Iowa)
IWA0449	Dorothy Pearl Unmack Dix papers	Magnolia (Iowa)
IWA0450	O'Brien County Farm Bureau Women records	O'Brien County (Iowa)
IWA0451	Dorothy Bondurant papers	Waterloo (Iowa)
IWA0452	"Sharon Township Farm Bureau Women's Club (Johnson County, Iowa) records"	Johnson County (Iowa)
IWA0453	Marianne Michael papers	Iowa City (Iowa)
IWA0453	Marianne Michael papers	Garkida (Nigeria)
IWA0453	Marianne Michael papers	Adams County (Pa.)
IWA0454	Alma Erickson Swanson papers	Ogden (Iowa)
IWA0454	Alma Erickson Swanson papers	Swede Valley (Iowa)
IWA0455	Mary C. Neuhauser papers	Iowa City (Iowa)
IWA0455	Mary C. Neuhauser papers	Cambridge (Mass.)
IWA0455	Mary C. Neuhauser papers	Johnson County (Iowa)
IWA0456	Melba Gardemann Olson papers	Benton County (Iowa)
IWA0456	Melba Gardemann Olson papers	Newhall (Iowa)
IWA0457	Lucille Schlotterback Struve artifact	Newhall (Iowa)
IWA0458	Kathleen Wood Laurila papers	Des Moines (Iowa)
IWA0459	"Browning Literary Club (Atlantic, Iowa) address"	Council Bluffs (Iowa)
IWA0459	"Browning Literary Club (Atlantic, Iowa) address"	Atlantic (Iowa)
IWA0460	Eleanor Gildner Hageboeck papers	Iowa City (Iowa)
IWA0461	Jean Minish Stoner papers	Mount Vernon (Iowa)
IWA0462	Lola Moeller Zook papers	Iowa
IWA0462	Lola Moeller Zook papers	Washington (D.C.)
IWA0462	Lola Moeller Zook papers	Japan
IWA0462	Lola Moeller Zook papers	Flagstaff (Ariz.)
IWA0463	Sheila Creth papers	Iowa City (Iowa)
IWA0464	Vera Shivvers papers	Knoxville (Iowa)
IWA0464	Vera Shivvers papers	Albuquerque (N.M.)
IWA0464	Vera Shivvers papers	Indianola (Iowa)
IWA0464	Vera Shivvers papers	Bedford (Iowa)
IWA0465	Elizabeth Fagan Lynch memoir	Dubuque County (Iowa)
IWA0466	"Emma Goldman Clinic (Iowa City, Iowa) records"	Iowa City (Iowa)
IWA0467	Inés García papers	Fort Madison (Iowa)
IWA0468	Dorothy Misbach papers	Watertown (Mass.)
IWA0468	Dorothy Misbach papers	Bremer County (Iowa)
IWA0469	Inez Christen papers	Fayette County (Iowa)
IWA0470	Lois Baker Muehl papers	Iowa City (Iowa)
IWA0470	Lois Baker Muehl papers	China
IWA0471	"Magdalena ""Helen"" Tylee papers"	Linn County (Iowa)
IWA0472	Irene Hoover papers	Mahaska County (Iowa)
IWA0473	Frances Hawthorne papers	Davenport (Iowa)
IWA0473	Frances Hawthorne papers	Des Moines (Iowa)
IWA0473	Frances Hawthorne papers	Iowa City (Iowa)
IWA0473	Frances Hawthorne papers	Clarinda (Iowa)
IWA0473	Frances Hawthorne papers	Estherville (Iowa)
IWA0473	Frances Hawthorne papers	Buxton (Iowa)
IWA0473	Frances Hawthorne papers	Cedar Rapids (Iowa)
IWA0473	Frances Hawthorne papers	Marshalltown (Iowa)
IWA0473	Frances Hawthorne papers	Waterloo (Iowa)
IWA0473	Frances Hawthorne papers	Burlington (Iowa)
IWA0473	Frances Hawthorne papers	Red Oak (Iowa)
IWA0474	Geraldine Greenlee papers	Des Moines (Iowa)
IWA0475	Wagner Family papers	Rochester (Minn.)
IWA0475	Wagner Family papers	Thornton (Iowa)
IWA0475	Wagner Family papers	Mason City (Iowa)
IWA0476	Helen Harrington papers	Lamoni (Iowa)
IWA0477	Betty Rugen Schutter papers	Iowa City (Iowa)
IWA0478	Sally Wiesenfeld papers	Waterloo (Iowa)
IWA0478	Sally Wiesenfeld papers	Cedar Falls (Iowa)
IWA0479	June Lundy Boyd papers	Iowa
IWA0479	June Lundy Boyd papers	Knoxville (Iowa)
IWA0480	Myrtle Keppy papers	Scott County (Iowa)
IWA0481	"Flora Garden Club (Manchester, Iowa) records"	Manchester (Iowa)
