CollectionIdentifier	Title	Subject
IWA0051	Marjorie Elizabeth Lyford papers	Minneapolis (Minn.)
IWA0052	Katherine Mull Falvey Zastrow papers	Monroe County (Iowa)
IWA0052	Katherine Mull Falvey Zastrow papers	Charles City (Iowa)
IWA0053	Anna Cochrane Lomas papers	Iowa
IWA0053	Anna Cochrane Lomas papers	Red Oak (Iowa)
IWA0054	Mildred Augustine Wirt Benson papers	Iowa City (Iowa)
IWA0054	Mildred Augustine Wirt Benson papers	Toledo (Ohio)
IWA0054	Mildred Augustine Wirt Benson papers	Ladora (Iowa)
IWA0055	Shirley Rich papers	Ottumwa (Iowa)
IWA0056	Mary Jane Odell papers	Iowa
IWA0056	Mary Jane Odell papers	Des Moines (Iowa)
IWA0056	Mary Jane Odell papers	Chicago (Ill.)
IWA0057	Katharine La Sheck papers	Iowa City (Iowa)
IWA0057	Katharine La Sheck papers	Buffalo (N.Y.)
IWA0057	Katharine La Sheck papers	Panama
IWA0059	Shrauger Family Papers	Atlantic (Iowa)
IWA0059	Shrauger Family Papers	Le Mars (Iowa)
IWA0059	Shrauger Family Papers	Washington (Iowa)
IWA0059	Shrauger Family Papers	Rochester (N.Y.)
IWA0059	Shrauger Family Papers	Chicago (Ill.)
IWA0060	Prentiss Family papers	Iowa City (Iowa)
IWA0061	Bradley Family papers	Dobbs Ferry (N.Y.)
IWA0061	Bradley Family papers	Hudson River Valley (N.Y. and N.J.)
IWA0061	Bradley Family papers	Westchester County (N.Y.)
IWA0062	Ida Bandfield Holden papers	Waterloo (Iowa)
IWA0063	Rose Ettinger papers	Waterloo (Iowa)
IWA0063	Rose Ettinger papers	Chicago (Ill.)
IWA0064	Marian Farquhar papers	Sudan
IWA0064	Marian Farquhar papers	Page County (Iowa)
IWA0064	Marian Farquhar papers	Hong Kong
IWA0064	Marian Farquhar papers	Ethiopia
IWA0065	Beverly A. Hannon papers	Iowa City (Iowa)
IWA0065	Beverly A. Hannon papers	Iowa
IWA0065	Beverly A. Hannon papers	Jones County (Iowa)
IWA0065	Beverly A. Hannon papers	Manchester (Iowa)
IWA0066	Jean Lloyd-Jones papers	Iowa City (Iowa)
IWA0066	Jean Lloyd-Jones papers	Iowa
IWA0066	Jean Lloyd-Jones papers	Yamanashi-shi (Japan)
IWA0067	Judith Sutcliffe papers	Santa Barbara (Calif.)
IWA0067	Judith Sutcliffe papers	Audubon (Iowa)
IWA0068	Almira Safely Rutledge papers	Early (Iowa)
IWA0069	Laura Gibson Smith papers	Story County (Iowa)
IWA0069	Laura Gibson Smith papers	Manila (Philippines)
IWA0069	Laura Gibson Smith papers	Chugwater (Wyo.)
IWA0070	Shakespeare Club of Marion (Iowa) records	Marion (Iowa)
IWA0071	Joan Lipsky papers	Iowa
IWA0071	Joan Lipsky papers	Cedar Rapids (Iowa)
IWA0072	Augusta Gustafson Swanson correspondence	Red Oak (Iowa)
IWA0072	Augusta Gustafson Swanson correspondence	Montgomery County (Iowa)
IWA0073	Nissen Family papers	Walnut (Iowa)
IWA0073	Nissen Family papers	Pottawattamie County (Iowa)
IWA0074	Lucy Van Voorhis White papers	Dallas County (Iowa)
IWA0075	Laura F. Hutchison Davis papers	Cedar Rapids (Iowa)
IWA0077	Sarah White papers	Dallas Center (Iowa)
IWA0078	Myrle Olive Ward papers	Belgian Congo
IWA0079	Wilma Belden Collins papers	Stuart (Iowa)
IWA0079	Wilma Belden Collins papers	Grimes (Iowa)
IWA0079	Wilma Belden Collins papers	Miinburn (Iowa)
IWA0080	Helene Scriabine papers	Iowa City (Iowa)
IWA0080	Helene Scriabine papers	Leningrad (R.S.F.S.R.)
IWA0081	"Entre Nous records (Iowa City, Iowa)"	Iowa City (Iowa)
IWA0082	Peg Mullen papers	Vietnam
IWA0082	Peg Mullen papers	Mount Pleasant (Iowa)
IWA0082	Peg Mullen papers	Black Hawk County (Iowa)
IWA0083	Margaret Davis Collison papers	Oskaloosa (Iowa)
IWA0084	Kate Martinson papers	Dickinson County (Iowa)
IWA0085	Effie Hoffman Rogers memoir	Oskaloosa (Iowa)
IWA0086	Charlotte Faxon diary	Central America
IWA0086	Charlotte Faxon diary	Panama
IWA0086	Charlotte Faxon diary	Nicaragua
IWA0087	Dora Jane Hamblin papers	Cedar Rapids (Iowa)
IWA0087	Dora Jane Hamblin papers	Houston (Tex.)
IWA0087	Dora Jane Hamblin papers	Bedford (Iowa)
IWA0088	May Bennett Harshbarger papers	Carroll County (Iowa)
IWA0089	A Political Dialogue: Iowa's Women Legislators oral histories	Iowa
IWA0090	Martha Wahl papers	Ottumwa (Iowa)
IWA0090	Martha Wahl papers	Connecticut
IWA0091	"Lowell Club (Boone, Iowa) records"	Boone (Iowa)
IWA0092	Nellie Bishop oral history	Buchanan County (Iowa)
IWA0092	Nellie Bishop oral history	Cedar Rapids (Iowa)
IWA0092	Nellie Bishop oral history	Charles City (Iowa)
IWA0093	Nancy Drew Collection	Iowa City (Iowa)
IWA0094	Judy Klemesrud papers	New York (N.Y.)
IWA0094	Judy Klemesrud papers	Thompson (Iowa)
IWA0095	Welch and Angrick Collection	Iowa
IWA0095	Welch and Angrick Collection	Council Bluffs (Iowa)
IWA0095	Welch and Angrick Collection	Des Moines (Iowa)
IWA0096	Proteus Club (Des Moines) records	Des Moines (Iowa)
IWA0097	Mary Ankeny Hunter memoir	Des Moines (Iowa)
IWA0097	Mary Ankeny Hunter memoir	Iowa
IWA0097	Mary Ankeny Hunter memoir	Polk County (Iowa)
IWA0098	Marilyn E. (Harris) Jackson papers	Muscatine (Iowa)
IWA0099	Genevieve Buess Taylor papers	Iowa City (Iowa)
IWA0100	Delvena Anderson papers	Iowa City (Iowa)
IWA0100	Delvena Anderson papers	Rhode Island
IWA0100	Delvena Anderson papers	New Brunswick
IWA0100	Delvena Anderson papers	Nova Scotia
IWA0100	Delvena Anderson papers	"Canada, Eastern"
IWA0100	Delvena Anderson papers	Connecticut
IWA0100	Delvena Anderson papers	Maine
IWA0100	Delvena Anderson papers	Massachussetts
IWA0101	Mary Rouse papers	Iowa City (Iowa)
IWA0102	Common Lives/Lesbian Lives records	Iowa City (Iowa)
IWA0102	Common Lives/Lesbian Lives records	Los Angeles (Calif.)
IWA0103	"Thimble Club (Riceville, Iowa) records"	Riceville (Iowa)
IWA0105	Almira Ames Farnham memoir	Jones County (Iowa)
IWA0105	Almira Ames Farnham memoir	Lowell (Mass.)
IWA0105	Almira Ames Farnham memoir	Andover (Mass.)
IWA0106	University of Iowa Department of Physical Education for Women records	Iowa City (Iowa)
IWA0107	Ann Larimer letters	Queen City (Iowa)
IWA0107	Ann Larimer letters	Adams County (Iowa)
IWA0108	Julie Goodrich papers	Iowa
IWA0108	Julie Goodrich papers	Adel (Iowa)
IWA0108	Julie Goodrich papers	Linden (Iowa)
IWA0109	Iowa Woman Endeavors Inc. records	Iowa
